iter	Logloss
0	0.6885941931
1	0.6840726369
2	0.680377337
3	0.6766654633
4	0.6735634419
5	0.6702830596
6	0.6667741511
7	0.6633366326
8	0.6587093489
9	0.654851136
10	0.6515073481
11	0.6480456789
12	0.6443513094
13	0.6404231167
14	0.6367158611
15	0.6337176787
16	0.630048383
17	0.6271913142
18	0.6245510227
19	0.6210497585
20	0.6181206801
21	0.6156556605
22	0.6122950441
23	0.6091670334
24	0.6064112859
25	0.6039189607
26	0.6007898212
27	0.5975545782
28	0.5938924461
29	0.5905434506
30	0.5882445252
31	0.5853085093
32	0.5830336072
33	0.5806685505
34	0.5783475109
35	0.5749167431
36	0.5726722948
37	0.5698891742
38	0.5677815752
39	0.566301134
40	0.5638908126
41	0.5609529904
42	0.5586760489
43	0.5561964787
44	0.5538753718
45	0.5519725314
46	0.5498793673
47	0.5483572324
48	0.5462438667
49	0.5440658992
50	0.5417660818
51	0.5402097866
52	0.5384833883
53	0.5363501682
54	0.5341625671
55	0.5321682485
56	0.5306691337
57	0.5284774491
58	0.5266884728
59	0.5250919386
60	0.5234023091
61	0.5219859656
62	0.5201000662
63	0.5184511697
64	0.5172050693
65	0.5155359184
66	0.5135399434
67	0.5118009842
68	0.5105368188
69	0.5089291241
70	0.5072928737
71	0.5057572789
72	0.5040633066
73	0.502756604
74	0.5013647177
75	0.5002883926
76	0.4991909265
77	0.4976279371
78	0.4958726441
79	0.4945974117
80	0.4931284416
81	0.4915911616
82	0.4899797432
83	0.4885525862
84	0.4874753464
85	0.4859516622
86	0.4848850459
87	0.4835246739
88	0.4822441041
89	0.4809044522
90	0.4794676552
91	0.4784225664
92	0.4775069841
93	0.4760047468
94	0.4746881451
95	0.4739579181
96	0.4729429891
97	0.4719442894
98	0.4709939066
99	0.469760147
100	0.4682424879
101	0.467116473
102	0.4661750373
103	0.4650859602
104	0.4643838176
105	0.4632386543
106	0.4620542495
107	0.4611931907
108	0.4599158075
109	0.4584940128
110	0.4574110092
111	0.4560872869
112	0.4552336112
