iter	Passed	Remaining
0	195	194925
1	197	98427
2	198	66129
3	201	50158
4	203	40421
5	204	33936
6	206	29294
7	208	25886
8	210	23166
9	212	20990
10	213	19207
11	215	17722
12	216	16468
13	218	15396
14	220	14461
15	222	13685
16	223	12930
17	224	12266
18	226	11693
19	228	11180
20	229	10715
21	231	10301
22	232	9869
23	234	9516
24	235	9188
25	237	8884
26	238	8603
27	240	8345
28	242	8104
29	243	7885
30	245	7673
31	247	7475
32	248	7291
33	251	7136
34	252	6964
35	254	6810
36	255	6662
37	257	6522
38	259	6390
39	261	6264
40	262	6144
41	264	6033
42	266	5931
43	268	5826
44	269	5726
45	271	5631
46	273	5539
47	274	5449
48	276	5364
49	278	5282
50	280	5210
51	281	5126
52	282	5053
53	284	4984
54	286	4916
55	287	4850
56	289	4787
57	290	4715
58	291	4646
59	292	4588
60	295	4543
61	297	4494
62	299	4447
63	301	4402
64	303	4359
65	305	4317
66	307	4278
67	309	4246
68	311	4198
69	313	4159
70	314	4120
71	317	4086
72	319	4055
73	321	4021
74	324	4001
75	327	3980
76	329	3949
77	331	3919
78	333	3888
79	335	3858
80	338	3837
81	339	3800
82	342	3780
83	344	3753
84	345	3723
85	348	3700
86	350	3676
87	353	3660
88	355	3636
89	357	3613
90	359	3587
91	360	3562
92	362	3537
93	364	3512
94	366	3490
95	368	3469
96	370	3450
97	372	3427
98	374	3406
99	375	3383
100	377	3360
101	379	3339
102	381	3320
103	383	3302
104	385	3287
105	387	3268
106	389	3247
107	391	3229
108	392	3205
109	394	3191
110	396	3178
111	399	3165
112	401	3149
113	402	3131
114	404	3113
115	406	3095
116	407	3078
117	409	3064
118	411	3045
119	413	3033
120	415	3017
121	417	3001
122	418	2985
123	420	2969
124	421	2953
125	423	2934
126	425	2925
127	427	2913
128	429	2899
129	431	2884
130	432	2870
131	434	2856
132	435	2842
133	437	2828
134	439	2818
135	441	2804
136	442	2790
137	444	2777
138	446	2764
139	447	2751
140	449	2738
141	451	2725
142	453	2717
143	455	2707
144	457	2699
145	459	2687
146	461	2676
147	462	2664
148	464	2652
149	466	2641
150	468	2634
151	470	2624
152	472	2616
153	474	2605
154	475	2590
155	476	2579
156	478	2569
157	480	2558
158	481	2546
159	484	2541
160	486	2534
161	488	2525
162	489	2515
163	491	2505
164	492	2493
165	494	2483
166	495	2472
167	497	2464
168	500	2460
169	502	2452
170	503	2443
171	505	2434
172	507	2425
173	509	2417
174	511	2412
175	513	2406
176	515	2398
177	518	2392
178	519	2384
179	521	2377
180	523	2369
181	526	2366
182	528	2359
183	530	2351
184	532	2343
185	533	2335
186	535	2328
187	537	2321
188	539	2314
189	541	2309
190	544	2304
191	545	2296
192	547	2288
193	549	2281
194	550	2274
195	552	2266
196	554	2261
197	557	2256
198	559	2251
199	561	2244
200	562	2237
201	565	2232
202	567	2226
203	569	2221
204	570	2213
205	572	2206
206	574	2199
207	575	2192
208	577	2185
209	579	2178
210	581	2172
211	583	2168
212	585	2162
213	586	2153
214	587	2146
215	589	2140
216	591	2134
217	593	2127
218	594	2120
219	596	2113
220	598	2110
221	600	2105
222	602	2099
223	604	2093
224	605	2086
225	607	2080
226	609	2075
227	611	2069
228	613	2065
229	615	2059
230	617	2055
231	619	2049
232	620	2044
233	622	2038
234	624	2032
235	626	2027
236	628	2022
237	630	2020
238	632	2015
239	634	2010
240	636	2005
241	638	2001
242	640	1996
243	643	1992
244	645	1989
245	647	1984
246	649	1980
247	651	1975
248	653	1970
249	655	1966
250	657	1960
251	659	1956
252	660	1950
253	662	1945
254	664	1939
255	665	1934
256	667	1929
257	669	1924
258	671	1920
259	672	1913
260	674	1908
261	675	1903
262	677	1899
263	679	1894
264	681	1890
265	683	1885
266	685	1882
267	687	1876
268	688	1870
269	690	1865
270	692	1861
271	694	1857
272	695	1853
273	697	1849
274	700	1845
275	702	1842
276	704	1837
277	705	1833
278	707	1828
279	709	1825
280	711	1820
281	712	1812
282	714	1810
283	716	1807
284	718	1801
285	719	1797
286	722	1794
287	723	1788
288	724	1782
289	726	1778
290	728	1774
291	730	1770
292	732	1768
293	734	1764
294	736	1760
295	738	1756
296	739	1751
297	741	1746
298	743	1743
299	745	1739
